Straßenname;Erläuterung;Geschlecht;Kategorie;Quellenangabe
'ABRAHAM-LINCOLN-STRASSE';'Lincoln, Abraham (geb. 12.02.1809 in Hodgenville, gest. 15.04.1865 in Washington), 16. Präsident der USA';'m';'None';'None'
'ACHARDSTRASSE';'Achard, Franz Carl (geb. 28.04.1753 in Berlin, gest. 20.04.1821 in Kunern/Schlesien), Physiker und Chemiker, Begründer der Rübenzuckerindustrie';'m';'None';'None'
'ACHATIUSWEG';'Achatius (gest. ca. 140 auf dem Ararat), römischer Offizier und christlicher Märtyrer, Heiliger, einer der 14 Nothelfer';'m';'None';'None'
'ACKERMANNWEG';'Ackermann, Jacob Fidelis (geb. 23.04.1765 in Rüdesheim, gest. 08.10.1815 in Rüdesheim), Professor für Anatomie an der Universität Mainz, machte den Galvanismus in Deutschland bekannt';'m';'None';'None'
'ADALFRID-WEG';'Erwähnung in der ersten Urkunde aus \"Nubenheim\" (später Laubenheim) vom 03.05.773: Schenkung von Immobilien in Mainz und Bretzenheim sowie eines Weinbergs in Laubenheim durch Adalfrid und seine Frau Songart an die Abtei Fulda.';'f';'None';'None'
'ADAM-ALLENDORF-WEG';'Allendorf, Adam (geb. 10.10.1845 in Mainz, gest. 28.03.1924 in Mainz), Gründer des Wander- und Lennebergvereins \"Rheingold\" Mainz';'m';'None';'None'
'ADAM-KARRILLON-STRASSE';'Karrillon, Adam, Dr. med (geb. 12.05.1853 in Waldmichelbach/Odenwald, gest. 14.09.1938 in Wiesbaden), Dichter, Verfasser von Reiseromanen, Schüler des 1933 nach ihm benannten Adam-Karrillon-Gymnasiums';'m';'None';'None'
'ADAM-OPEL-STRASSE';'Opel, Adam (geb. 09.05.1837 in Rüsselsheim, gest. 08.09.1895 in Rüsselsheim), deutscher Maschinenbauer und Unternehmer';'m';'None';'None'
'ADAM-RIESE-STRASSE';'Riese (Ries), Adam (geb. 1492 ? in Staffelstein, gest. 30.03.1559 in Annaberg), Rechenmeister, \"Vater des modernen Rechnens\"';'m';'None';'None'
'ADAM-STEGERWALD-STRASSE';'Stegerwald, Adam (geb. 14.12.1874 in Greußenheim/Lkr. Würzburg, gest. 03.12.1945 in Würzburg), Gewerkschafter und Politiker, Reichstagsabgeordneter des Zentrums, 1918 Begründer des Deutsch-Demokratischen Gewerkschaftsbundes, des späteren DGBs, 1944 von der Gestapo verhaftet, nach dem Krieg Mitbegründer der CSU';'m';'None';'None'
'ADELUNGSTRASSE';'Adelung, Bernhard (geb. 30.11.1876 in Bremen, gest. 24.02.1943 in Darmstadt), führender SPD-Politiker, Redakteur der Mainzer Volkszeitung, seit 1905 Mainzer Stadtverordneter, rief am 9. Nov. 1918 in Mainz die Republik aus. Bürgermeister 1918-1928, hessischer Staatspräsident von 1928 bis 1933. 1933 von den Nationalsozialisten zum Rücktritt gezwungen.';'m';'None';'None'
'ADENAUER-UFER';'Adenauer, Konrad (05.01.1876 in Köln, gest. 19.04.1967 in Bad Honnef-Rhöndorf), CDU-Bundesvorsitzender und erster Bundeskanzler der Bundesrepublik Deutschland';'m';'None';'None'
'ADOLF-ERNST-SCHUTH-STRASSE';'Schuth, Adolf Ernst (geb. 20.04.1864 in Gonsenheim, gest. 21.04.1937 in Gonsenheim), langjähriger Gemeinderat, Gonsenheimer Heimatforscher, Verfasser verschiedener Festbücher zu Vereinsjubiläen';'m';'None';'None'
'ADOLF-GERHARD-STRASSE';'Gerhard, Adolf (geb. 20.11.1910 in Mainz, gest. 21.02.1975 in Mainz), Maler und Bildhauer';'m';'None';'None'
'ADOLF-KOLPING-STRASSE';'Kolping, Adolf (geb. 08.12.1813 in Kerpen, gest. 04.12.1865 in Köln), kath. Theologe, Schriftsteller und Gründer der Gesellenvereine, 1991 Seligsprechung. In der Straße befand sich das 1926-29 erbaute Kolpinghaus für Handwerker und Hilfesuchende.';'m';'None';'None'
'AENNE-LUDWIG-STRASSE';'Ludwig, Aenne / Anna Rosa (geb. 19.02.1892 in Gonsenheim, gest. 22.08.1973 in Mainz), langjährige und beliebte Gemeindeschwester in Gonsenheim';'w';'Medizin';'None'
